user_id,bureauScore,bureauVintage,uniqueAccountsCount,activeAccountsCount,loansCount,unsecuredLoanCount,ccActiveSumOfCB,totalCreditCardLimit,inquiryCountIn1M,imputedIncome,hasActiveExclusiveCreditCardAccount,avgMonthsBetweenAvailingNewTradeline,maxSanctionedAmountOnAllLoans,maxOverdueAmountInActiveLoans,ccMaxDPDIn12M,loansWrittenOffSettledCountsIn24M
U001,402,60,4,3,5,3,134633,1321685,1,243585,1,5.9,1741093,2911,143,0
U002,735,21,9,6,6,3,19630,24538,1,1619945,1,14.4,2558231,67270,89,3
U003,570,33,3,3,7,3,326649,894498,3,2361196,0,14.1,4300385,83763,111,3
U004,406,12,5,2,6,4,104488,201664,4,309556,0,34.3,3080389,8680,59,2
U005,371,58,3,0,7,0,183323,491234,2,1775557,1,35.1,1661909,84896,112,0
U006,320,22,7,3,5,4,284806,1948260,0,2261083,0,9.7,2656138,83879,1,3
U007,421,44,5,1,6,4,111345,139182,3,400235,0,47.9,110078,71295,128,3
U008,766,25,9,7,3,0,30535,1521101,4,2323091,0,15.0,1915631,88614,47,1
U009,514,49,7,3,0,0,471819,1206914,3,2209021,1,46.9,1404104,11111,139,3
U010,630,27,2,1,5,0,147251,184064,5,1401482,1,21.5,2008187,37504,36,3
U011,758,59,4,4,7,0,171216,214020,4,742335,1,4.5,1659066,1802,159,1
U012,387,42,9,5,4,3,351279,1039577,4,275766,0,18.5,4173125,8155,8,2
U013,672,28,12,9,7,2,389622,623094,2,1901240,0,31.5,2148815,73656,98,3
U014,399,60,14,3,4,2,297366,1972990,4,1184346,1,33.6,4024066,39384,146,1
U015,430,16,2,2,1,0,77373,897421,3,1703165,1,26.9,4506259,47254,47,0
U016,608,15,10,1,6,2,472791,615270,4,2435000,1,23.2,4135314,21918,130,2
U017,643,47,9,9,4,2,123684,1694490,2,327948,1,27.9,910681,85981,147,0
U018,791,51,10,1,7,0,489570,1167752,2,1827880,0,29.7,1607618,60713,151,0
U019,713,44,5,5,1,1,477867,917710,5,602690,1,6.6,3896830,30306,53,1
U020,685,55,2,2,0,0,456551,1266702,3,699046,0,19.6,4336787,16646,119,3
